NAMESPACE     NAME                                      READY   STATUS    RESTARTS      AGE
mike          charlie                                   1/1     Running   0             26d
mike          delta                                     1/1     Running   0             26d
mike          echo                                      1/1     Running   0             26d
mike          foxtrot                                   1/1     Running   1 (55m ago)   26d
mike          golf                                      1/1     Running   0             26d
mike          hotel                                     1/1     Running   0             26d
mike          india                                     1/1     Running   0             26d
mike          juliet                                    1/1     Running   0             26d
mike          kilo                                      1/1     Running   1             26d
mike          lima                                      1/1     Running   0             26d
mike          mike                                      1/1     Running   0             26d
mike          november                                  1/1     Running   0             26d
mike          oscar                                     1/1     Running   0             26d
mike          papa                                      1/1     Running   0             26d
mike          quebec                                    1/1     Running   0             26d
mike          romeo                                     1/1     Running   0             26d
mike          sierra                                    1/1     Running   0             26d
mike          tango                                     1/1     Running   0             26d
mike          uniform                                   1/1     Running   1 (55m ago)   26d
mike          victor                                    1/1     Running   0             26d
mike          whiskey                                   1/1     Running   0             26d
mike          xray                                      1/1     Running   0             26d
mike          yankee                                    1/1     Running   1 (55m ago)   26d
mike          zulu                                      1/1     Running   0             26d
november      alpha                                     1/1     Running   0             26d
november      bravo                                     1/1     Running   1 (55m ago)   26d
november      charlie                                   1/1     Running   0             26d
november      delta                                     1/1     Running   0             26d
november      echo                                      1/1     Running   1 (55m ago)   26d
november      foxtrot                                   1/1     Running   0             26d
november      golf                                      1/1     Running   0             26d
november      hotel                                     1/1     Running   1 (55m ago)   26d
november      india                                     1/1     Running   1 (55m ago)   26d
november      juliet                                    1/1     Running   0             26d
november      kilo                                      1/1     Running   0             26d
november      lima                                      1/1     Running   1 (55m ago)   26d
november      mike                                      1/1     Running   0             26d
november      november                                  1/1     Running   0             26d
november      oscar                                     1/1     Running   0             26d
november      papa                                      1/1     Running   0             26d
november      quebec                                    1/1     Running   0             26d
november      romeo                                     1/1     Running   0             26d
november      sierra                                    1/1     Running   1 (55m ago)   26d
november      tango                                     1/1     Running   0             26d
november      uniform                                   1/1     Running   0             26d
november      victor                                    1/1     Running   0             26d
november      whiskey                                   1/1     Running   1 (55m ago)   26d
november      xray                                      1/1     Running   1 (55m ago)   26d
november      yankee                                    1/1     Running   0             26d
november      zulu                                      1/1     Running   1 (55m ago)   26d
oscar         alpha                                     1/1     Running   0             26d
oscar         bravo                                     1/1     Running   0             26d
oscar         charlie                                   1/1     Running   1 (55m ago)   26d
oscar         delta                                     1/1     Running   0             26d
oscar         echo                                      1/1     Running   0             26d
oscar         foxtrot                                   1/1     Running   0             26d
oscar         golf                                      1/1     Running   0             26d
oscar         hotel                                     1/1     Running   1 (55m ago)   26d
oscar         india                                     1/1     Running   0             26d
oscar         juliet                                    1/1     Running   0             26d
oscar         kilo                                      1/1     Running   0             26d
oscar         lima                                      1/1     Running   0             26d
oscar         mike                                      1/1     Running   0             26d
oscar         november                                  1/1     Running   0             26d
oscar         oscar                                     1/1     Running   0             26d
oscar         papa                                      1/1     Running   1             26d
oscar         quebec                                    1/1     Running   0             26d
oscar         romeo                                     1/1     Running   1 (55m ago)   26d
oscar         sierra                                    1/1     Running   1 (55m ago)   26d
oscar         tango                                     1/1     Running   0             26d
oscar         uniform                                   1/1     Running   0             26d
oscar         victor                                    1/1     Running   0             26d
oscar         whiskey                                   1/1     Running   0             26d
oscar         xray                                      1/1     Running   1 (55m ago)   26d
oscar         yankee                                    1/1     Running   0             26d
oscar         zulu                                      1/1     Running   0             26d
papa          alpha                                     1/1     Running   0             26d
papa          bravo                                     1/1     Running   0             26d
papa          charlie                                   1/1     Running   1             26d
papa          delta                                     1/1     Running   0             26d
papa          echo                                      1/1     Running   1 (55m ago)   26d
papa          foxtrot                                   1/1     Running   0             26d
papa          golf                                      1/1     Running   1 (55m ago)   26d
papa          hotel                                     1/1     Running   0             26d
papa          india                                     1/1     Running   0             26d
papa          juliet                                    1/1     Running   0             26d
papa          kilo                                      1/1     Running   0             26d
papa          lima                                      1/1     Running   0             26d
papa          mike                                      1/1     Running   0             26d
papa          november                                  1/1     Running   0             26d
papa          oscar                                     1/1     Running   0             26d
papa          papa                                      1/1     Running   1 (55m ago)   26d
papa          quebec                                    1/1     Running   1 (55m ago)   26d
papa          romeo                                     1/1     Running   0             26d
papa          sierra                                    1/1     Running   0             26d
papa          tango                                     1/1     Running   0             26d
papa          uniform                                   1/1     Running   0             26d
papa          victor                                    1/1     Running   0             26d
papa          whiskey                                   1/1     Running   1 (55m ago)   26d
papa          xray                                      1/1     Running   0             26d
papa          yankee                                    1/1     Running   0             26d
papa          zulu                                      1/1     Running   0             26d
quebec        alpha                                     1/1     Running   0             26d
quebec        bravo                                     1/1     Running   0             26d
quebec        charlie                                   1/1     Running   0             26d
quebec        delta                                     1/1     Running   0             26d
quebec        echo                                      1/1     Running   0             26d
quebec        foxtrot                                   1/1     Running   0             26d
quebec        golf                                      1/1     Running   1 (55m ago)   26d
quebec        hotel                                     1/1     Running   0             26d
quebec        india                                     1/1     Running   1 (55m ago)   26d
quebec        juliet                                    1/1     Running   1 (55m ago)   26d
quebec        kilo                                      1/1     Running   1 (55m ago)   26d
quebec        lima                                      1/1     Running   0             26d
quebec        mike                                      1/1     Running   0             26d
quebec        november                                  1/1     Running   0             26d
quebec        oscar                                     1/1     Running   1 (55m ago)   26d
quebec        papa                                      1/1     Running   1 (55m ago)   26d
quebec        quebec                                    1/1     Running   0             26d
quebec        romeo                                     1/1     Running   0             26d
quebec        sierra                                    1/1     Running   1 (55m ago)   26d
quebec        tango                                     1/1     Running   1 (55m ago)   26d
quebec        uniform                                   1/1     Running   0             26d
quebec        victor                                    1/1     Running   1 (55m ago)   26d
quebec        whiskey                                   1/1     Running   1 (55m ago)   26d
quebec        xray                                      1/1     Running   1 (55m ago)   26d
quebec        yankee                                    1/1     Running   0             26d
quebec        zulu                                      1/1     Running   0             26d
romeo         alpha                                     1/1     Running   0             26d
romeo         bravo                                     1/1     Running   0             26d
romeo         charlie                                   1/1     Running   1 (55m ago)   26d
romeo         delta                                     1/1     Running   1 (55m ago)   26d
romeo         echo                                      1/1     Running   0             26d
romeo         foxtrot                                   1/1     Running   0             26d
romeo         golf                                      1/1     Running   1 (55m ago)   26d
romeo         hotel                                     1/1     Running   0             26d
romeo         india                                     1/1     Running   0             26d
romeo         juliet                                    1/1     Running   1             26d
romeo         kilo                                      1/1     Running   0             26d
romeo         lima                                      1/1     Running   0             26d
romeo         mike                                      1/1     Running   1 (55m ago)   26d
romeo         november                                  1/1     Running   1 (55m ago)   26d
romeo         oscar                                     1/1     Running   1 (55m ago)   26d
romeo         papa                                      1/1     Running   0             26d
romeo         quebec                                    1/1     Running   0             26d
romeo         romeo                                     1/1     Running   0             26d
romeo         sierra                                    1/1     Running   0             26d
romeo         tango                                     1/1     Running   1 (55m ago)   26d
romeo         uniform                                   1/1     Running   0             26d
romeo         victor                                    1/1     Running   0             26d
romeo         whiskey                                   1/1     Running   0             26d
romeo         xray                                      1/1     Running   0             26d
romeo         yankee                                    1/1     Running   0             26d
romeo         zulu                                      1/1     Running   0             26d
sierra        alpha                                     1/1     Running   1 (55m ago)   26d
sierra        bravo                                     1/1     Running   0             26d
sierra        charlie                                   1/1     Running   1 (55m ago)   26d
sierra        delta                                     1/1     Running   0             26d
sierra        echo                                      1/1     Running   0             26d
sierra        foxtrot                                   1/1     Running   0             26d
sierra        golf                                      1/1     Running   1 (55m ago)   26d
sierra        hotel                                     1/1     Running   0             26d
sierra        india                                     1/1     Running   0             26d
sierra        juliet                                    1/1     Running   0             26d
sierra        kilo                                      1/1     Running   1 (55m ago)   26d
sierra        lima                                      1/1     Running   0             26d
sierra        mike                                      1/1     Running   1 (55m ago)   26d
sierra        november                                  1/1     Running   1 (55m ago)   26d
